extraversion_1,extraversion_2,extraversion_3,agreeableness_1,agreeableness_2,agreeableness_3,conscientiousness_1,conscientiousness_2,conscientiousness_3,neuroticism_1,neuroticism_2,neuroticism_3,openness_1,openness_2,openness_3,trait_score
5,4,3,4,3,4,5,4,3,2,3,2,4,5,4,80
3,2,4,5,4,5,3,5,4,1,2,1,3,4,3,75
4,3,5,3,5,3,5,3,5,2,3,2,2,3,2,85
2,3,2,4,4,4,4,4,4,3,2,3,5,5,5,70
5,5,4,2,2,3,3,3,3,4,4,4,4,4,4,65
3,3,3,4,3,3,2,4,2,5,5,5,1,1,1,55
4,4,4,5,5,5,1,2,1,3,3,3,2,2,2,60
2,2,2,3,3,3,4,5,4,4,4,4,5,3,5,78
1,1,1,2,2,2,5,5,5,3,3,3,4,4,4,68
5,4,4,3,3,3,4,4,4,2,2,2,1,1,1,72
